reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,313,314.0,320.0
0.24,large,313,314.0,319.0
0.24,large,313,314.0,318.0
0.24,large,313,314.0,317.0
0.24,large,312,325.0,326.0
0.24,large,313,315.0,321.0
0.24,large,313,315.0,320.0
0.24,large,313,315.0,319.0
0.24,large,313,315.0,318.0
0.24,large,313,315.0,317.0
0.24,large,313,314.0,326.0
0.24,large,313,314.0,325.0
0.24,large,313,314.0,324.0
0.24,large,313,316.0,319.0
0.24,large,313,316.0,318.0
0.24,large,313,316.0,317.0
0.24,large,313,315.0,326.0
0.24,large,313,315.0,325.0
0.24,large,313,315.0,324.0
0.24,large,313,315.0,323.0
0.24,large,313,315.0,322.0
0.24,large,313,317.0,318.0
0.24,large,313,316.0,326.0
0.24,large,313,316.0,325.0
0.24,large,313,316.0,324.0
0.24,large,313,316.0,323.0
0.24,large,313,316.0,322.0
0.24,large,313,316.0,321.0
0.24,large,313,316.0,320.0
0.24,large,312,319.0,321.0
0.24,large,312,319.0,320.0
0.24,large,312,318.0,326.0
0.24,large,312,318.0,325.0
0.24,large,312,318.0,324.0
0.24,large,312,318.0,323.0
0.24,large,312,318.0,322.0
0.24,large,312,318.0,321.0
0.24,large,312,320.0,323.0
0.24,large,312,320.0,322.0
0.24,large,312,320.0,321.0
0.24,large,312,319.0,326.0
0.24,large,312,319.0,325.0
0.24,large,312,319.0,324.0
0.24,large,312,319.0,323.0
0.24,large,312,319.0,322.0
0.24,large,312,321.0,326.0
0.24,large,312,321.0,325.0
0.24,large,312,321.0,324.0
0.24,large,312,321.0,323.0
0.24,large,312,321.0,322.0
0.24,large,312,320.0,326.0
0.24,large,312,320.0,325.0
0.24,large,312,320.0,324.0
0.24,large,312,324.0,326.0
0.24,large,312,323.0,326.0
0.24,large,312,323.0,325.0
0.24,large,312,323.0,324.0
0.24,large,312,322.0,326.0
0.24,large,312,322.0,325.0
0.24,large,312,322.0,324.0
0.24,large,312,322.0,323.0
0.24,large,312,315.0,322.0
0.24,large,312,315.0,321.0
0.24,large,312,315.0,320.0
0.24,large,312,315.0,319.0
0.24,large,312,315.0,318.0
0.24,large,312,315.0,317.0
0.24,large,312,314.0,326.0
0.24,large,312,314.0,325.0
0.24,large,312,316.0,321.0
0.24,large,312,316.0,320.0
0.24,large,312,316.0,319.0
0.24,large,312,316.0,317.0
0.24,large,312,315.0,326.0
0.24,large,312,315.0,325.0
0.24,large,312,315.0,324.0
0.24,large,312,315.0,323.0
0.24,large,312,317.0,320.0
0.24,large,312,317.0,319.0
0.24,large,312,317.0,318.0
0.24,large,312,316.0,326.0
0.24,large,312,316.0,325.0
0.24,large,312,316.0,324.0
0.24,large,312,316.0,323.0
0.24,large,312,316.0,322.0
0.24,large,312,318.0,320.0
0.24,large,312,318.0,319.0
0.24,large,312,317.0,326.0
0.24,large,312,317.0,325.0
